13:13:14.291 - accX: 67, accY: 12, accZ: -3
13:13:14.308 - accX: 64, accY: 10, accZ: -6
13:13:14.321 - accX: 65, accY: 9, accZ: -6
13:13:14.335 - accX: 67, accY: 9, accZ: -3
13:13:14.349 - accX: 65, accY: 10, accZ: -1
13:13:14.362 - accX: 66, accY: 11, accZ: -6
13:13:14.389 - accX: 65, accY: 8, accZ: -12
13:13:14.418 - accX: 67, accY: 9, accZ: -11
13:13:14.459 - accX: 65, accY: 10, accZ: -13
13:13:14.475 - accX: 62, accY: 10, accZ: -13
13:13:14.487 - accX: 63, accY: 10, accZ: -14
13:13:14.500 - accX: 65, accY: 10, accZ: -15
13:13:14.513 - accX: 66, accY: 9, accZ: -18
13:13:14.528 - accX: 68, accY: 9, accZ: -17
13:13:14.541 - accX: 68, accY: 9, accZ: -16
13:13:14.567 - accX: 66, accY: 7, accZ: -17
13:13:14.581 - accX: 65, accY: 8, accZ: -16
13:13:14.594 - accX: 64, accY: 7, accZ: -13
13:13:14.611 - accX: 66, accY: 8, accZ: -31
13:13:14.624 - accX: 57, accY: 5, accZ: -34
13:13:14.646 - accX: 65, accY: 7, accZ: -26
13:13:14.660 - accX: 39, accY: 16, accZ: -20
13:13:14.675 - accX: 25, accY: 14, accZ: -9
13:13:14.690 - accX: 4, accY: 12, accZ: -3
13:13:14.705 - accX: -6, accY: 12, accZ: -17
13:13:14.729 - accX: 66, accY: 81, accZ: -70
13:13:14.744 - accX: -28, accY: 22, accZ: -35
13:13:14.759 - accX: -32, accY: 47, accZ: -83
13:13:14.774 - accX: -114, accY: 22, accZ: -38
13:13:14.788 - accX: -128, accY: -14, accZ: -35
13:13:14.802 - accX: -15, accY: -33, accZ: -8
13:13:14.817 - accX: -18, accY: 37, accZ: 44
13:13:14.841 - accX: -16, accY: 47, accZ: 38
13:13:14.858 - accX: -8, accY: 35, accZ: 20
13:13:14.873 - accX: -12, accY: 29, accZ: 15
13:13:14.887 - accX: -36, accY: 40, accZ: 17
13:13:14.900 - accX: -45, accY: 30, accZ: 1
13:13:14.916 - accX: -47, accY: 25, accZ: 2
13:13:14.940 - accX: -52, accY: 30, accZ: 6
13:13:14.993 - accX: -44, accY: 20, accZ: 6
13:13:15.012 - accX: -49, accY: 21, accZ: -6
13:13:15.027 - accX: -55, accY: 22, accZ: -7
13:13:15.041 - accX: -74, accY: 27, accZ: -5
13:13:15.055 - accX: -68, accY: 14, accZ: -8
13:13:15.069 - accX: -47, accY: 3, accZ: -21
13:13:15.083 - accX: -66, accY: 4, accZ: -37
13:13:15.097 - accX: -60, accY: 6, accZ: -43
13:13:15.109 - accX: -56, accY: -2, accZ: -68
13:13:15.136 - accX: -59, accY: 0, accZ: -102
13:13:15.152 - accX: -13, accY: 4, accZ: -119
13:13:15.164 - accX: -6, accY: 58, accZ: -105
13:13:15.179 - accX: 4, accY: 38, accZ: -103
13:13:15.194 - accX: 70, accY: 12, accZ: -96
13:13:15.209 - accX: 18, accY: -3, accZ: -63
13:13:15.224 - accX: -25, accY: 9, accZ: -46
13:13:15.241 - accX: -25, accY: 9, accZ: -46
13:13:15.259 - accX: -25, accY: 9, accZ: -46
13:13:15.275 - accX: -24, accY: 10, accZ: -46
13:13:15.288 - accX: -24, accY: 9, accZ: -46
13:13:15.311 - accX: -25, accY: 9, accZ: -47
13:13:15.326 - accX: -24, accY: 9, accZ: -46
13:13:15.338 - accX: -11, accY: -7, accZ: -85
13:13:15.369 - accX: 75, accY: 22, accZ: -119
13:13:15.385 - accX: -36, accY: 16, accZ: -67
13:13:15.398 - accX: -38, accY: 16, accZ: -64
13:13:15.410 - accX: -42, accY: 22, accZ: -68
13:13:15.423 - accX: -42, accY: 22, accZ: -68
13:13:15.445 - accX: -42, accY: 21, accZ: -68
13:13:15.460 - accX: -41, accY: 21, accZ: -68
13:13:15.472 - accX: -42, accY: 21, accZ: -67
13:13:15.486 - accX: -128, accY: 95, accZ: -124
13:13:15.500 - accX: -38, accY: 4, accZ: -80
13:13:15.523 - accX: -21, accY: -1, accZ: -79
13:13:15.539 - accX: -1, accY: -5, accZ: -66
13:13:15.554 - accX: -16, accY: 3, accZ: -42
13:13:15.567 - accX: 124, accY: 53, accZ: 127
13:13:15.582 - accX: -16, accY: 2, accZ: -33
13:13:15.599 - accX: -20, accY: 2, accZ: -30
13:13:15.623 - accX: -77, accY: 26, accZ: 44
13:13:15.639 - accX: -44, accY: 3, accZ: 11
13:13:15.654 - accX: -8, accY: -1, accZ: -20
13:13:15.670 - accX: -11, accY: 1, accZ: -19
13:13:15.687 - accX: -34, accY: -1, accZ: -25
13:13:15.702 - accX: -111, accY: -7, accZ: -107
13:13:15.719 - accX: 1, accY: 2, accZ: -6
13:13:15.736 - accX: -91, accY: 38, accZ: -53
13:13:15.762 - accX: -64, accY: 5, accZ: 1
13:13:15.777 - accX: -43, accY: -5, accZ: 8
13:13:15.791 - accX: -51, accY: -7, accZ: -1
13:13:15.806 - accX: -77, accY: 3, accZ: -12
13:13:15.821 - accX: -62, accY: 8, accZ: -16
13:13:15.834 - accX: -65, accY: 9, accZ: -12
13:13:15.858 - accX: -62, accY: 0, accZ: -7
13:13:15.873 - accX: -56, accY: -3, accZ: -5
13:13:15.887 - accX: -64, accY: 3, accZ: -9
13:13:15.901 - accX: -64, accY: 5, accZ: -11
13:13:15.924 - accX: -62, accY: 2, accZ: -8
13:13:15.939 - accX: -60, accY: 1, accZ: -8
13:13:15.951 - accX: -64, accY: 3, accZ: -10
13:13:15.965 - accX: -62, accY: 2, accZ: -9
