14:23:40.952 - accX: -110, accY: -54, accZ: -128
14:23:40.965 - accX: -60, accY: 27, accZ: -110
14:23:40.990 - accX: -74, accY: 32, accZ: -67
14:23:41.006 - accX: -31, accY: 30, accZ: -20
14:23:41.021 - accX: -64, accY: -14, accZ: -77
14:23:41.033 - accX: -47, accY: -25, accZ: -17
14:23:41.049 - accX: -29, accY: -87, accZ: 55
14:23:41.064 - accX: 31, accY: -32, accZ: -4
14:23:41.079 - accX: 56, accY: 15, accZ: -59
14:23:41.104 - accX: 106, accY: 124, accZ: -116
14:23:41.120 - accX: 2, accY: 29, accZ: -25
14:23:41.136 - accX: -6, accY: 1, accZ: -46
14:23:41.151 - accX: -7, accY: 10, accZ: -39
14:23:41.197 - accX: 25, accY: 27, accZ: -11
14:23:41.217 - accX: 108, accY: 127, accZ: -88
14:23:41.234 - accX: -109, accY: 101, accZ: 100
14:23:41.251 - accX: -7, accY: 1, accZ: -3
14:23:41.267 - accX: 0, accY: 3, accZ: -6
14:23:41.281 - accX: 6, accY: 17, accZ: -43
14:23:41.299 - accX: -103, accY: 104, accZ: -128
14:23:41.318 - accX: -25, accY: -9, accZ: -74
14:23:41.335 - accX: -13, accY: 18, accZ: -121
14:23:41.352 - accX: -10, accY: 8, accZ: -68
14:23:41.401 - accX: 30, accY: 34, accZ: -10
14:23:41.450 - accX: -61, accY: 44, accZ: -22
14:23:41.478 - accX: -124, accY: 23, accZ: -42
14:23:41.493 - accX: 114, accY: -116, accZ: 30
14:23:41.510 - accX: 8, accY: 52, accZ: -20
14:23:41.527 - accX: -4, accY: 32, accZ: -76
14:23:41.542 - accX: -41, accY: 127, accZ: -128
14:23:41.557 - accX: 86, accY: 108, accZ: -100
14:23:41.572 - accX: 114, accY: 123, accZ: 106
14:23:41.587 - accX: 19, accY: 19, accZ: 8
14:23:41.604 - accX: 12, accY: -15, accZ: 6
14:23:41.627 - accX: -5, accY: 2, accZ: -15
14:23:41.644 - accX: -7, accY: 9, accZ: -22
14:23:41.658 - accX: -6, accY: 12, accZ: -20
14:23:41.673 - accX: -19, accY: 90, accZ: -128
14:23:41.689 - accX: 77, accY: 101, accZ: -128
14:23:41.727 - accX: -52, accY: -35, accZ: 55
14:23:41.744 - accX: 1, accY: 3, accZ: -6
14:23:41.764 - accX: -9, accY: 7, accZ: -18
14:23:41.783 - accX: 102, accY: 127, accZ: -81
14:23:41.802 - accX: -31, accY: 73, accZ: -62
14:23:41.821 - accX: -75, accY: 94, accZ: -98
14:23:41.838 - accX: -57, accY: 46, accZ: -44
14:23:41.856 - accX: 11, accY: 40, accZ: -13
14:23:41.876 - accX: 1, accY: 3, accZ: -7
14:23:41.904 - accX: 28, accY: 47, accZ: 40
14:23:41.952 - accX: -3, accY: 42, accZ: 74
14:23:41.969 - accX: -7, accY: 19, accZ: 6
14:23:41.985 - accX: -25, accY: 27, accZ: -12
14:23:42.016 - accX: -23, accY: 69, accZ: -46
14:23:42.033 - accX: -68, accY: 58, accZ: -128
14:23:42.050 - accX: 6, accY: 51, accZ: -95
14:23:42.066 - accX: 34, accY: 60, accZ: -76
14:23:42.081 - accX: 31, accY: -21, accZ: -45
14:23:42.097 - accX: -4, accY: 4, accZ: -11
14:23:42.113 - accX: -4, accY: 5, accZ: -12
14:23:42.143 - accX: -4, accY: 7, accZ: -12
14:23:42.189 - accX: -6, accY: 24, accZ: -122
14:23:42.233 - accX: 28, accY: -24, accZ: -24
14:23:42.282 - accX: 1, accY: 22, accZ: -7
14:23:42.329 - accX: -2, accY: 6, accZ: -11
14:23:42.373 - accX: 39, accY: -24, accZ: -43
14:23:42.390 - accX: 90, accY: -72, accZ: 57
14:23:42.409 - accX: -61, accY: 116, accZ: 122
14:23:42.426 - accX: -2, accY: 5, accZ: 19
14:23:42.441 - accX: 1, accY: 13, accZ: -18
14:23:42.459 - accX: 86, accY: 108, accZ: -128
14:23:42.479 - accX: -99, accY: 25, accZ: -128
14:23:42.495 - accX: -34, accY: -18, accZ: -81
14:23:42.509 - accX: -23, accY: -17, accZ: -41
14:23:42.522 - accX: -26, accY: -30, accZ: -55
14:23:42.537 - accX: 0, accY: -10, accZ: -35
14:23:42.552 - accX: -1, accY: 2, accZ: -10
14:23:42.567 - accX: -1, accY: 4, accZ: -8
14:23:42.596 - accX: 113, accY: -57, accZ: -120
14:23:42.612 - accX: 9, accY: 57, accZ: -69
14:23:42.628 - accX: -51, accY: 5, accZ: -111
14:23:42.645 - accX: -14, accY: 10, accZ: -4
14:23:42.661 - accX: -28, accY: -37, accZ: -62
14:23:42.676 - accX: -75, accY: -83, accZ: -102
14:23:42.700 - accX: 1, accY: -117, accZ: -82
14:23:42.716 - accX: 91, accY: -128, accZ: 3
14:23:42.732 - accX: 26, accY: 38, accZ: 76
14:23:42.749 - accX: 34, accY: 59, accZ: 58
14:23:42.763 - accX: -1, accY: 8, accZ: -11
14:23:42.779 - accX: 0, accY: 8, accZ: -10
14:23:42.793 - accX: -1, accY: 7, accZ: -11
14:23:42.808 - accX: 67, accY: -39, accZ: -45
14:23:42.822 - accX: 124, accY: -128, accZ: 125
14:23:42.838 - accX: -22, accY: -31, accZ: -4
14:23:42.855 - accX: -50, accY: -82, accZ: 34
14:23:42.882 - accX: -22, accY: -50, accZ: 36
14:23:42.898 - accX: 0, accY: -5, accZ: -3
14:23:42.920 - accX: -17, accY: 127, accZ: 127
14:23:42.937 - accX: 116, accY: 87, accZ: -97
14:23:42.954 - accX: 38, accY: 4, accZ: -23
14:23:42.972 - accX: 39, accY: 8, accZ: -15
14:23:42.987 - accX: 24, accY: 8, accZ: -13
14:23:43.016 - accX: -1, accY: 8, accZ: -9
14:23:43.037 - accX: 113, accY: 115, accZ: 127
14:23:43.054 - accX: -45, accY: 57, accZ: 15
14:23:43.070 - accX: -119, accY: 115, accZ: -47
14:23:43.085 - accX: 38, accY: 122, accZ: 0
14:23:43.101 - accX: 8, accY: 16, accZ: -3
14:23:43.117 - accX: 70, accY: 25, accZ: -18
14:23:43.133 - accX: 80, accY: 46, accZ: 31
14:23:43.149 - accX: 98, accY: -101, accZ: 70
14:23:43.164 - accX: -6, accY: 6, accZ: 9
14:23:43.182 - accX: -78, accY: -109, accZ: 74
14:23:43.198 - accX: -62, accY: -79, accZ: -20
14:23:43.219 - accX: -6, accY: -7, accZ: -3
14:23:43.237 - accX: -10, accY: -43, accZ: -13
14:23:43.252 - accX: 32, accY: -36, accZ: -47
14:23:43.268 - accX: 127, accY: 5, accZ: -37
14:23:43.283 - accX: 80, accY: 90, accZ: 70
14:23:43.300 - accX: -78, accY: 55, accZ: 3
14:23:43.317 - accX: -28, accY: 108, accZ: 57
14:23:43.333 - accX: 25, accY: 80, accZ: 49
14:23:43.348 - accX: 26, accY: 33, accZ: 17
14:23:43.372 - accX: 62, accY: -13, accZ: -69
14:23:43.388 - accX: 46, accY: 16, accZ: -20
14:23:43.404 - accX: 127, accY: -111, accZ: -50
14:23:43.419 - accX: 10, accY: 8, accZ: 17
14:23:43.436 - accX: -21, accY: 16, accZ: 6
14:23:43.453 - accX: -19, accY: 5, accZ: 7
14:23:43.467 - accX: 4, accY: 40, accZ: 11
14:23:43.483 - accX: -27, accY: -2, accZ: 47
14:23:43.500 - accX: -27, accY: 7, accZ: 80
14:23:43.530 - accX: -39, accY: 44, accZ: 57
14:23:43.573 - accX: -22, accY: -33, accZ: -16
14:23:43.594 - accX: 3, accY: -98, accZ: -81
14:23:43.609 - accX: 16, accY: -64, accZ: -63
14:23:43.622 - accX: 36, accY: 53, accZ: -71
14:23:43.652 - accX: 0, accY: 4, accZ: -4
14:23:43.696 - accX: -37, accY: -30, accZ: 8
14:23:43.712 - accX: -49, accY: -44, accZ: 16
14:23:43.726 - accX: -38, accY: -55, accZ: -13
14:23:43.741 - accX: -9, accY: -93, accZ: -80
14:23:43.766 - accX: 86, accY: -53, accZ: -93
14:23:43.784 - accX: 94, accY: 38, accZ: -76
14:23:43.800 - accX: 104, accY: 76, accZ: -80
14:23:43.815 - accX: 10, accY: 102, accZ: 43
14:23:43.833 - accX: 77, accY: 52, accZ: -62
14:23:43.849 - accX: 36, accY: -1, accZ: -39
14:23:43.864 - accX: 21, accY: -43, accZ: -59
14:23:43.879 - accX: -2, accY: -52, accZ: -60
14:23:43.895 - accX: -115, accY: -128, accZ: 127
14:23:43.911 - accX: -4, accY: -16, accZ: 8
14:23:43.927 - accX: -5, accY: -20, accZ: 10
14:23:43.942 - accX: -43, accY: -38, accZ: 61
14:23:43.957 - accX: -13, accY: -19, accZ: 10
14:23:43.971 - accX: -5, accY: -7, accZ: -5
14:23:43.985 - accX: -18, accY: -37, accZ: 43
14:23:44.002 - accX: 92, accY: -128, accZ: -128
14:23:44.018 - accX: -8, accY: 2, accZ: -24
14:23:44.040 - accX: 3, accY: -39, accZ: -97
14:23:44.056 - accX: -2, accY: -17, accZ: -60
14:23:44.071 - accX: 8, accY: -19, accZ: -21
14:23:44.087 - accX: 1, accY: 2, accZ: -8
14:23:44.106 - accX: -15, accY: -5, accZ: -9
14:23:44.123 - accX: -128, accY: -128, accZ: 123
14:23:44.147 - accX: -10, accY: -8, accZ: 6
14:23:44.164 - accX: 14, accY: -17, accZ: 14
14:23:44.181 - accX: 127, accY: -72, accZ: -106
14:23:44.200 - accX: 68, accY: 9, accZ: -79
14:23:44.222 - accX: 57, accY: 28, accZ: -91
14:23:44.244 - accX: 5, accY: 43, accZ: -127
14:23:44.265 - accX: -28, accY: -11, accZ: -7
14:23:44.283 - accX: 43, accY: -8, accZ: -58
14:23:44.301 - accX: 0, accY: 3, accZ: -14
14:23:44.322 - accX: 31, accY: -4, accZ: -48
14:23:44.343 - accX: 82, accY: -41, accZ: -81
14:23:44.360 - accX: -36, accY: -96, accZ: 93
14:23:44.381 - accX: -5, accY: 9, accZ: -13
14:23:44.400 - accX: -10, accY: -28, accZ: 21
14:23:44.420 - accX: 99, accY: 36, accZ: 126
14:23:44.443 - accX: 39, accY: -28, accZ: 41
14:23:44.466 - accX: 52, accY: -83, accZ: -105
14:23:44.485 - accX: -88, accY: -124, accZ: -128
14:23:44.504 - accX: -55, accY: -11, accZ: -3
14:23:44.522 - accX: 5, accY: 19, accZ: 5
14:23:44.544 - accX: 0, accY: 7, accZ: -5
14:23:44.562 - accX: -13, accY: 8, accZ: 9
14:23:44.579 - accX: -128, accY: -119, accZ: 122
14:23:44.599 - accX: -21, accY: 9, accZ: 5
14:23:44.618 - accX: 19, accY: -39, accZ: -65
14:23:44.638 - accX: -3, accY: -11, accZ: -14
14:23:44.658 - accX: 2, accY: -21, accZ: -20
14:23:44.675 - accX: -60, accY: -116, accZ: 76
14:23:44.699 - accX: -17, accY: 6, accZ: -14
14:23:44.725 - accX: -127, accY: 52, accZ: -60
14:23:44.741 - accX: -105, accY: -29, accZ: 37
14:23:44.759 - accX: 127, accY: 64, accZ: -38
14:23:44.789 - accX: -3, accY: 2, accZ: -15
14:23:44.807 - accX: 9, accY: -12, accZ: -7
14:23:44.823 - accX: -128, accY: -102, accZ: 127
