12:22:21.721 - accX: -28, accY: 21, accZ: -54
12:22:21.744 - accX: -29, accY: 22, accZ: -54
12:22:21.761 - accX: -29, accY: 22, accZ: -54
12:22:21.800 - accX: -26, accY: 14, accZ: -45
12:22:21.833 - accX: -9, accY: 3, accZ: -22
12:22:21.848 - accX: -8, accY: 4, accZ: -22
12:22:21.867 - accX: -9, accY: 3, accZ: -21
12:22:21.881 - accX: -31, accY: 11, accZ: -78
12:22:21.907 - accX: -29, accY: 6, accZ: -45
12:22:21.923 - accX: -1, accY: 3, accZ: -11
12:22:21.938 - accX: -1, accY: 2, accZ: -11
12:22:21.973 - accX: -10, accY: -5, accZ: -16
12:22:22.006 - accX: -60, accY: -8, accZ: 24
12:22:22.022 - accX: -52, accY: 16, accZ: 15
12:22:22.036 - accX: -43, accY: 16, accZ: 5
12:22:22.051 - accX: -54, accY: 16, accZ: 3
12:22:22.064 - accX: -99, accY: 24, accZ: 2
12:22:22.078 - accX: -41, accY: -13, accZ: -18
12:22:22.093 - accX: -57, accY: -17, accZ: -17
12:22:22.118 - accX: -59, accY: -5, accZ: -9
12:22:22.135 - accX: -69, accY: 8, accZ: -12
12:22:22.151 - accX: -65, accY: 3, accZ: -12
12:22:22.163 - accX: -58, accY: -7, accZ: -12
12:22:22.177 - accX: -61, accY: -4, accZ: -12
12:22:22.190 - accX: -64, accY: 1, accZ: -12
12:22:22.215 - accX: -61, accY: -3, accZ: -12
12:22:22.232 - accX: -62, accY: -3, accZ: -12
12:22:22.245 - accX: -63, accY: -1, accZ: -12
12:22:22.258 - accX: -61, accY: -2, accZ: -12
12:22:22.271 - accX: -62, accY: -3, accZ: -12
12:22:22.294 - accX: -62, accY: -2, accZ: -13
12:22:22.339 - accX: -62, accY: -2, accZ: -12
12:22:22.368 - accX: -62, accY: -2, accZ: -12
12:22:22.380 - accX: -62, accY: -2, accZ: -11
12:22:22.395 - accX: -61, accY: -2, accZ: -12
12:22:22.409 - accX: -62, accY: -2, accZ: -12
12:22:22.424 - accX: -62, accY: -2, accZ: -12
12:22:22.455 - accX: -62, accY: -2, accZ: -12
12:22:22.483 - accX: -62, accY: -3, accZ: -12
12:22:22.506 - accX: -62, accY: -2, accZ: -13
12:22:22.523 - accX: -62, accY: -1, accZ: -12
12:22:22.536 - accX: -62, accY: -2, accZ: -12
12:22:22.549 - accX: -63, accY: -2, accZ: -12
12:22:22.575 - accX: -62, accY: -2, accZ: -12
12:22:22.592 - accX: -61, accY: -2, accZ: -12
12:22:22.613 - accX: -60, accY: -2, accZ: -12
12:22:22.651 - accX: -61, accY: -2, accZ: -12
12:22:22.687 - accX: -63, accY: -2, accZ: -12
12:22:22.727 - accX: -62, accY: -2, accZ: -12
12:22:22.739 - accX: -61, accY: -2, accZ: -12
12:22:22.752 - accX: -61, accY: -2, accZ: -12
12:22:22.763 - accX: -62, accY: -3, accZ: -12
12:22:22.776 - accX: -62, accY: -1, accZ: -11
12:22:22.809 - accX: -62, accY: -2, accZ: -12
12:22:22.848 - accX: -62, accY: -3, accZ: -12
12:22:22.861 - accX: -61, accY: -2, accZ: -12
12:22:22.877 - accX: -62, accY: -2, accZ: -12
12:22:22.894 - accX: -63, accY: -2, accZ: -12
12:22:22.910 - accX: -62, accY: -1, accZ: -13
12:22:22.926 - accX: -63, accY: -2, accZ: -13
12:22:22.946 - accX: -62, accY: -3, accZ: -13
12:22:22.962 - accX: -61, accY: -2, accZ: -12
12:22:22.980 - accX: -62, accY: -2, accZ: -11
12:22:22.995 - accX: -61, accY: -2, accZ: -13
12:22:23.010 - accX: -62, accY: -2, accZ: -12
12:22:23.026 - accX: -60, accY: -2, accZ: -13
12:22:23.041 - accX: -63, accY: -2, accZ: -12
12:22:23.055 - accX: -63, accY: -2, accZ: -13
12:22:23.069 - accX: -62, accY: -3, accZ: -12
12:22:23.085 - accX: -62, accY: -3, accZ: -12
12:22:23.102 - accX: -62, accY: -2, accZ: -12
12:22:23.127 - accX: -62, accY: -2, accZ: -12
12:22:23.149 - accX: -62, accY: -2, accZ: -12
12:22:23.161 - accX: -62, accY: -2, accZ: -12
12:22:23.178 - accX: -61, accY: -2, accZ: -12
12:22:23.192 - accX: -62, accY: -2, accZ: -12
12:22:23.214 - accX: -61, accY: -2, accZ: -12
12:22:23.234 - accX: -62, accY: -2, accZ: -12
12:22:23.251 - accX: -62, accY: -2, accZ: -12
12:22:23.263 - accX: -59, accY: -1, accZ: -13
12:22:23.280 - accX: -62, accY: -1, accZ: -13
12:22:23.295 - accX: -61, accY: -2, accZ: -13
12:22:23.313 - accX: -62, accY: -2, accZ: -12
12:22:23.330 - accX: -63, accY: -2, accZ: -12
12:22:23.348 - accX: -63, accY: -2, accZ: -13
12:22:23.364 - accX: -61, accY: -7, accZ: -11
12:22:23.386 - accX: -89, accY: -18, accZ: -9
12:22:23.409 - accX: -54, accY: -7, accZ: -20
12:22:23.428 - accX: -73, accY: -4, accZ: -6
12:22:23.446 - accX: -67, accY: 8, accZ: -9
12:22:23.466 - accX: -71, accY: 14, accZ: -16
12:22:23.483 - accX: -82, accY: 8, accZ: -22
12:22:23.505 - accX: -85, accY: 5, accZ: -11
12:22:23.521 - accX: -78, accY: 12, accZ: -14
12:22:23.537 - accX: -76, accY: 13, accZ: -19
12:22:23.552 - accX: -67, accY: 27, accZ: -20
12:22:23.566 - accX: -59, accY: 19, accZ: -18
12:22:23.590 - accX: -54, accY: 28, accZ: -22
12:22:23.607 - accX: -50, accY: 35, accZ: -17
12:22:23.622 - accX: -45, accY: 33, accZ: -16
12:22:23.637 - accX: -34, accY: 32, accZ: -20
12:22:23.651 - accX: -27, accY: 34, accZ: -14
12:22:23.665 - accX: -20, accY: 31, accZ: -25
12:22:23.679 - accX: -1, accY: 44, accZ: -14
12:22:23.696 - accX: 6, accY: 68, accZ: -15
12:22:23.711 - accX: 2, accY: 72, accZ: -20
12:22:23.736 - accX: 0, accY: 53, accZ: -20
12:22:23.777 - accX: 16, accY: 61, accZ: -14
12:22:23.821 - accX: 28, accY: 44, accZ: -8
12:22:23.871 - accX: 15, accY: 27, accZ: 9
12:22:23.922 - accX: 79, accY: -19, accZ: -88
12:22:23.940 - accX: -123, accY: -111, accZ: -128
12:22:23.958 - accX: -23, accY: 0, accZ: -52
12:22:23.979 - accX: -34, accY: -7, accZ: -38
12:22:24.027 - accX: -23, accY: -4, accZ: -16
12:22:24.073 - accX: -44, accY: -1, accZ: -42
12:22:24.128 - accX: -64, accY: -5, accZ: -34
12:22:24.178 - accX: -49, accY: 5, accZ: -33
12:22:24.226 - accX: -61, accY: 4, accZ: -30
12:22:24.273 - accX: -44, accY: 18, accZ: -32
12:22:24.323 - accX: -48, accY: 50, accZ: -29
12:22:24.351 - accX: -25, accY: 42, accZ: -22
12:22:24.367 - accX: -24, accY: 36, accZ: -13
12:22:24.386 - accX: -5, accY: 52, accZ: -20
12:22:24.404 - accX: -7, accY: 16, accZ: 7
12:22:24.421 - accX: -8, accY: 15, accZ: 7
12:22:24.435 - accX: -8, accY: 15, accZ: 8
12:22:24.460 - accX: -9, accY: 13, accZ: 7
12:22:24.477 - accX: -9, accY: 13, accZ: 7
12:22:24.490 - accX: -9, accY: 12, accZ: 7
12:22:24.504 - accX: -9, accY: 11, accZ: 7
12:22:24.517 - accX: -93, accY: 94, accZ: 86
12:22:24.534 - accX: 57, accY: 88, accZ: -31
12:22:24.550 - accX: 15, accY: 47, accZ: -9
12:22:24.566 - accX: 15, accY: 46, accZ: -8
12:22:24.593 - accX: 15, accY: 44, accZ: -7
12:22:24.610 - accX: 15, accY: 43, accZ: -7
12:22:24.624 - accX: 15, accY: 42, accZ: -7
12:22:24.637 - accX: 15, accY: 41, accZ: -6
12:22:24.676 - accX: 124, accY: 127, accZ: -66
12:22:24.712 - accX: 20, accY: 38, accZ: -19
12:22:24.731 - accX: 20, accY: 37, accZ: -18
12:22:24.746 - accX: 13, accY: 23, accZ: -11
12:22:24.763 - accX: -46, accY: -40, accZ: 43
12:22:24.815 - accX: 60, accY: 75, accZ: -46
12:22:24.875 - accX: 10, accY: 14, accZ: -31
12:22:24.931 - accX: 18, accY: 14, accZ: -11
12:22:24.953 - accX: -70, accY: -108, accZ: 120
12:22:24.972 - accX: -9, accY: 0, accZ: -11
12:22:24.990 - accX: -54, accY: -52, accZ: 14
12:22:25.008 - accX: -30, accY: -33, accZ: -7
12:22:25.024 - accX: -89, accY: -99, accZ: -39
12:22:25.042 - accX: -16, accY: -27, accZ: -21
12:22:25.057 - accX: -23, accY: -71, accZ: -51
12:22:25.094 - accX: 37, accY: -24, accZ: 39
12:22:25.145 - accX: 23, accY: -52, accZ: 1
12:22:25.196 - accX: -5, accY: -64, accZ: -9
12:22:25.244 - accX: 2, accY: -64, accZ: -5
12:22:25.260 - accX: 9, accY: -60, accZ: -1
12:22:25.276 - accX: 4, accY: -63, accZ: -4
12:22:25.291 - accX: 6, accY: -61, accZ: -2
12:22:25.319 - accX: 6, accY: -61, accZ: -2
12:22:25.356 - accX: 6, accY: -61, accZ: -2
12:22:25.392 - accX: 6, accY: -62, accZ: -3
12:22:25.428 - accX: 6, accY: -62, accZ: -2
12:22:25.444 - accX: 5, accY: -62, accZ: -3
12:22:25.461 - accX: 5, accY: -61, accZ: -2
12:22:25.477 - accX: 5, accY: -62, accZ: -3
12:22:25.506 - accX: 5, accY: -62, accZ: -3
12:22:25.542 - accX: 6, accY: -62, accZ: -2
12:22:25.557 - accX: 5, accY: -62, accZ: -3
12:22:25.574 - accX: 5, accY: -62, accZ: -3
12:22:25.586 - accX: 4, accY: -62, accZ: -3
12:22:25.600 - accX: 5, accY: -62, accZ: -3
12:22:25.614 - accX: 5, accY: -62, accZ: -3
12:22:25.628 - accX: 4, accY: -61, accZ: -2
12:22:25.646 - accX: 6, accY: -62, accZ: -2
12:22:25.662 - accX: 6, accY: -62, accZ: -3
12:22:25.677 - accX: 5, accY: -62, accZ: -2
12:22:25.692 - accX: 5, accY: -65, accZ: -3
12:22:25.706 - accX: 5, accY: -63, accZ: -2
12:22:25.721 - accX: 5, accY: -63, accZ: -2
12:22:25.742 - accX: 5, accY: -61, accZ: -2
12:22:25.760 - accX: 5, accY: -62, accZ: -2
12:22:25.773 - accX: 5, accY: -63, accZ: -2
12:22:25.787 - accX: 5, accY: -63, accZ: -4
12:22:25.811 - accX: 5, accY: -62, accZ: -3
12:22:25.829 - accX: 5, accY: -62, accZ: -2
12:22:25.853 - accX: 5, accY: -62, accZ: -3
12:22:25.895 - accX: 5, accY: -62, accZ: -2
12:22:25.918 - accX: 5, accY: -61, accZ: -3
12:22:25.933 - accX: 5, accY: -62, accZ: -2
12:22:25.949 - accX: 5, accY: -63, accZ: -1
12:22:25.971 - accX: 5, accY: -63, accZ: -2
12:22:26.015 - accX: 5, accY: -62, accZ: -2
12:22:26.033 - accX: 5, accY: -62, accZ: -3
12:22:26.048 - accX: 5, accY: -62, accZ: -2
12:22:26.064 - accX: 5, accY: -62, accZ: -2
12:22:26.102 - accX: 10, accY: -101, accZ: -18
12:22:26.157 - accX: 8, accY: -67, accZ: 0
12:22:26.215 - accX: 1, accY: -79, accZ: 0
12:22:26.259 - accX: -2, accY: -68, accZ: 0
12:22:26.307 - accX: -2, accY: -57, accZ: -3
12:22:26.357 - accX: 2, accY: -68, accZ: -10
12:22:26.392 - accX: 6, accY: -64, accZ: -16
12:22:26.410 - accX: 10, accY: -60, accZ: -20
12:22:26.429 - accX: 6, accY: -56, accZ: -19
12:22:26.447 - accX: 7, accY: -55, accZ: -20
