13:00:07.938 - accX: 61, accY: -15, accZ: 8
13:00:07.959 - accX: 59, accY: -14, accZ: 9
13:00:07.973 - accX: 55, accY: -13, accZ: 9
13:00:07.995 - accX: 56, accY: -10, accZ: 10
13:00:08.011 - accX: 60, accY: -8, accZ: 14
13:00:08.030 - accX: 60, accY: -8, accZ: 15
13:00:08.062 - accX: 60, accY: -14, accZ: 16
13:00:08.094 - accX: 58, accY: -17, accZ: 18
13:00:08.133 - accX: 61, accY: -20, accZ: 19
13:00:08.149 - accX: 60, accY: -14, accZ: 20
13:00:08.171 - accX: 55, accY: -14, accZ: 19
13:00:08.187 - accX: 56, accY: -14, accZ: 22
13:00:08.199 - accX: 58, accY: -12, accZ: 23
13:00:08.212 - accX: 60, accY: -10, accZ: 24
13:00:08.224 - accX: 60, accY: -12, accZ: 24
13:00:08.239 - accX: 55, accY: -15, accZ: 18
13:00:08.264 - accX: 51, accY: -15, accZ: 17
13:00:08.280 - accX: 48, accY: -17, accZ: 14
13:00:08.295 - accX: 54, accY: -17, accZ: 18
13:00:08.308 - accX: 61, accY: -15, accZ: 26
13:00:08.323 - accX: 59, accY: -17, accZ: 32
13:00:08.339 - accX: 51, accY: -23, accZ: 30
13:00:08.360 - accX: 42, accY: -19, accZ: 28
13:00:08.377 - accX: 49, accY: -14, accZ: 28
13:00:08.391 - accX: 51, accY: -20, accZ: 24
13:00:08.407 - accX: 56, accY: -25, accZ: 32
13:00:08.422 - accX: 46, accY: -20, accZ: 39
13:00:08.436 - accX: 45, accY: -1, accZ: 42
13:00:08.458 - accX: 51, accY: 17, accZ: 52
13:00:08.474 - accX: 46, accY: 20, accZ: 43
13:00:08.486 - accX: 23, accY: 19, accZ: 21
13:00:08.503 - accX: -19, accY: -2, accZ: -27
13:00:08.517 - accX: -128, accY: -4, accZ: 88
13:00:08.532 - accX: -28, accY: 5, accZ: -36
13:00:08.553 - accX: -27, accY: 6, accZ: -35
13:00:08.566 - accX: -27, accY: 6, accZ: -35
13:00:08.587 - accX: -27, accY: 6, accZ: -36
13:00:08.606 - accX: -26, accY: 5, accZ: -35
13:00:08.619 - accX: -25, accY: 5, accZ: -35
13:00:08.629 - accX: -26, accY: 5, accZ: -35
13:00:08.656 - accX: 127, accY: -107, accZ: 127
13:00:08.677 - accX: -28, accY: 27, accZ: -19
13:00:08.695 - accX: -29, accY: 26, accZ: -19
13:00:08.726 - accX: -29, accY: 27, accZ: -19
13:00:08.742 - accX: -32, accY: 29, accZ: -19
13:00:08.759 - accX: -122, accY: 37, accZ: -29
13:00:08.774 - accX: -110, accY: -94, accZ: -14
13:00:08.787 - accX: -6, accY: 10, accZ: -8
13:00:08.802 - accX: -6, accY: 11, accZ: -9
13:00:08.814 - accX: -7, accY: 9, accZ: -8
13:00:08.829 - accX: -29, accY: -22, accZ: 15
13:00:08.845 - accX: 57, accY: -52, accZ: 84
13:00:08.860 - accX: 111, accY: -110, accZ: -61
13:00:08.874 - accX: 22, accY: -15, accZ: -20
13:00:08.890 - accX: 50, accY: -45, accZ: -44
13:00:08.915 - accX: 34, accY: -31, accZ: -33
13:00:08.929 - accX: 41, accY: -35, accZ: -38
13:00:08.941 - accX: 41, accY: -33, accZ: -38
13:00:08.964 - accX: 40, accY: -30, accZ: -37
13:00:08.978 - accX: 43, accY: -28, accZ: -40
13:00:08.991 - accX: 40, accY: -24, accZ: -37
13:00:09.004 - accX: 43, accY: -20, accZ: -40
13:00:09.028 - accX: 41, accY: -13, accZ: -40
13:00:09.052 - accX: 43, accY: -4, accZ: -45
13:00:09.090 - accX: 19, accY: 21, accZ: -46
13:00:09.127 - accX: 21, accY: 35, accZ: -125
13:00:09.166 - accX: -12, accY: 2, accZ: -38
13:00:09.212 - accX: 8, accY: 13, accZ: -70
13:00:09.232 - accX: 9, accY: 0, accZ: -65
13:00:09.245 - accX: 7, accY: 2, accZ: -67
13:00:09.257 - accX: 9, accY: 9, accZ: -68
13:00:09.279 - accX: 9, accY: 5, accZ: -67
13:00:09.296 - accX: 7, accY: 4, accZ: -67
13:00:09.308 - accX: 9, accY: 6, accZ: -68
13:00:09.320 - accX: 8, accY: 5, accZ: -67
13:00:09.341 - accX: 8, accY: 6, accZ: -67
13:00:09.356 - accX: 8, accY: 5, accZ: -67
13:00:09.376 - accX: 7, accY: 6, accZ: -67
13:00:09.390 - accX: 8, accY: 6, accZ: -68
13:00:09.401 - accX: 8, accY: 5, accZ: -67
13:00:09.422 - accX: 8, accY: 5, accZ: -66
13:00:09.435 - accX: 8, accY: 5, accZ: -68
13:00:09.455 - accX: 8, accY: 5, accZ: -67
13:00:09.468 - accX: 8, accY: 6, accZ: -67
13:00:09.491 - accX: 8, accY: 5, accZ: -68
13:00:09.506 - accX: 8, accY: 6, accZ: -69
13:00:09.520 - accX: 8, accY: 6, accZ: -67
13:00:09.537 - accX: 8, accY: 5, accZ: -68
13:00:09.550 - accX: 8, accY: 6, accZ: -67
13:00:09.573 - accX: 8, accY: 5, accZ: -67
13:00:09.589 - accX: 8, accY: 6, accZ: -68
13:00:09.602 - accX: 8, accY: 5, accZ: -67
13:00:09.612 - accX: 8, accY: 5, accZ: -66
13:00:09.633 - accX: 8, accY: 6, accZ: -67
13:00:09.657 - accX: 8, accY: 6, accZ: -68
13:00:09.686 - accX: 8, accY: 6, accZ: -68
13:00:09.710 - accX: 8, accY: 5, accZ: -66
13:00:09.743 - accX: 8, accY: 5, accZ: -69
13:00:09.770 - accX: 16, accY: -5, accZ: -80
13:00:09.807 - accX: 9, accY: 29, accZ: -83
13:00:09.848 - accX: -7, accY: 6, accZ: -91
13:00:09.889 - accX: -7, accY: 7, accZ: -94
13:00:09.923 - accX: -9, accY: -11, accZ: -107
13:00:09.959 - accX: 22, accY: -14, accZ: -69
13:00:09.991 - accX: 43, accY: -4, accZ: -47
13:00:10.033 - accX: 46, accY: -40, accZ: 13
13:00:10.076 - accX: 35, accY: 14, accZ: 22
13:00:10.117 - accX: -37, accY: -20, accZ: -23
13:00:10.133 - accX: -89, accY: 0, accZ: 45
13:00:10.149 - accX: -89, accY: 2, accZ: -85
13:00:10.175 - accX: -27, accY: -6, accZ: -41
13:00:10.194 - accX: -67, accY: -16, accZ: -101
13:00:10.210 - accX: -16, accY: -18, accZ: -76
13:00:10.226 - accX: -100, accY: -42, accZ: -93
13:00:10.241 - accX: -68, accY: -43, accZ: -61
13:00:10.256 - accX: -58, accY: -50, accZ: -45
13:00:10.272 - accX: -18, accY: -12, accZ: -35
13:00:10.297 - accX: -116, accY: -105, accZ: 75
13:00:10.315 - accX: -14, accY: 1, accZ: -65
13:00:10.332 - accX: -14, accY: 0, accZ: -66
13:00:10.345 - accX: -13, accY: 1, accZ: -65
13:00:10.359 - accX: -13, accY: 1, accZ: -65
13:00:10.372 - accX: -12, accY: 0, accZ: -66
13:00:10.386 - accX: -13, accY: 1, accZ: -65
13:00:10.402 - accX: -13, accY: 1, accZ: -66
13:00:10.426 - accX: -13, accY: 1, accZ: -66
13:00:10.442 - accX: -17, accY: -4, accZ: -62
13:00:10.457 - accX: -98, accY: -89, accZ: 53
13:00:10.473 - accX: -36, accY: 29, accZ: -97
13:00:10.490 - accX: -34, accY: 28, accZ: -97
13:00:10.503 - accX: -34, accY: 28, accZ: -98
13:00:10.515 - accX: -34, accY: 28, accZ: -98
13:00:10.538 - accX: -34, accY: 28, accZ: -98
13:00:10.582 - accX: -20, accY: -1, accZ: -63
13:00:10.624 - accX: -16, accY: 3, accZ: -67
13:00:10.665 - accX: 35, accY: 15, accZ: -59
13:00:10.722 - accX: -34, accY: -72, accZ: -116
13:00:10.771 - accX: -24, accY: -3, accZ: -17
13:00:10.820 - accX: -11, accY: 5, accZ: 6
13:00:10.873 - accX: -38, accY: -12, accZ: 6
13:00:10.914 - accX: -46, accY: 9, accZ: -22
13:00:10.962 - accX: -61, accY: -8, accZ: -5
13:00:11.008 - accX: -65, accY: -3, accZ: -18
13:00:11.053 - accX: -58, accY: -5, accZ: -8
13:00:11.096 - accX: -63, accY: -2, accZ: -15
13:00:11.139 - accX: -62, accY: -4, accZ: -12
13:00:11.178 - accX: -61, accY: -4, accZ: -12
13:00:11.205 - accX: -62, accY: -4, accZ: -12
13:00:11.218 - accX: -62, accY: -5, accZ: -13
13:00:11.232 - accX: -62, accY: -4, accZ: -12
13:00:11.257 - accX: -62, accY: -5, accZ: -13
13:00:11.299 - accX: -61, accY: -3, accZ: -12
13:00:11.330 - accX: -62, accY: -5, accZ: -12
13:00:11.355 - accX: -62, accY: -4, accZ: -12
13:00:11.372 - accX: -61, accY: -5, accZ: -12
13:00:11.386 - accX: -73, accY: -8, accZ: -15
13:00:11.400 - accX: -51, accY: 0, accZ: -10
13:00:11.414 - accX: -63, accY: -4, accZ: -14
13:00:11.429 - accX: -63, accY: -3, accZ: -11
13:00:11.444 - accX: -61, accY: -5, accZ: -12
13:00:11.469 - accX: -61, accY: -4, accZ: -13
13:00:11.486 - accX: -63, accY: -3, accZ: -12
13:00:11.501 - accX: -62, accY: -3, accZ: -12
13:00:11.513 - accX: -62, accY: -4, accZ: -12
13:00:11.526 - accX: -61, accY: -2, accZ: -11
13:00:11.541 - accX: -62, accY: -3, accZ: -12
13:00:11.557 - accX: -75, accY: 79, accZ: 26
13:00:11.593 - accX: -65, accY: -37, accZ: -103
13:00:11.630 - accX: -104, accY: 37, accZ: -14
13:00:11.647 - accX: -95, accY: 19, accZ: -13
13:00:11.663 - accX: -92, accY: 17, accZ: -23
13:00:11.676 - accX: -99, accY: 37, accZ: -21
13:00:11.691 - accX: -94, accY: 51, accZ: -14
13:00:11.706 - accX: -89, accY: 28, accZ: -10
13:00:11.719 - accX: -84, accY: 18, accZ: -7
13:00:11.735 - accX: -65, accY: 17, accZ: 2
13:00:11.751 - accX: -43, accY: 3, accZ: 13
13:00:11.777 - accX: -12, accY: 41, accZ: 18
13:00:11.793 - accX: 15, accY: 46, accZ: 28
13:00:11.825 - accX: 6, accY: 19, accZ: 6
13:00:11.875 - accX: 99, accY: -104, accZ: 48
13:00:11.922 - accX: -108, accY: -64, accZ: -128
13:00:11.973 - accX: -43, accY: -40, accZ: -34
13:00:12.028 - accX: 23, accY: -30, accZ: -30
13:00:12.052 - accX: 11, accY: -35, accZ: -71
13:00:12.069 - accX: 9, accY: -23, accZ: -63
13:00:12.085 - accX: 10, accY: -20, accZ: -63
13:00:12.100 - accX: 22, accY: -31, accZ: -80
13:00:12.116 - accX: 28, accY: -22, accZ: -70
13:00:12.130 - accX: 42, accY: -19, accZ: -82
13:00:12.146 - accX: 50, accY: -1, accZ: -80
13:00:12.162 - accX: 43, accY: 17, accZ: -72
13:00:12.177 - accX: 69, accY: 27, accZ: -84
13:00:12.192 - accX: 90, accY: 98, accZ: -89
13:00:12.207 - accX: 88, accY: 101, accZ: -19
13:00:12.223 - accX: 47, accY: 57, accZ: -18
13:00:12.247 - accX: 3, accY: 12, accZ: -51
13:00:12.264 - accX: 3, accY: 13, accZ: -51
13:00:12.277 - accX: 3, accY: 11, accZ: -52
13:00:12.294 - accX: 3, accY: 12, accZ: -51
13:00:12.308 - accX: 3, accY: 11, accZ: -52
13:00:12.322 - accX: 3, accY: 11, accZ: -52
13:00:12.346 - accX: 2, accY: 12, accZ: -52
13:00:12.363 - accX: 3, accY: 12, accZ: -52
13:00:12.377 - accX: 2, accY: 11, accZ: -51
13:00:12.391 - accX: 3, accY: 11, accZ: -51
13:00:12.414 - accX: 97, accY: 104, accZ: 78
13:00:12.462 - accX: -3, accY: 9, accZ: -103
13:00:12.483 - accX: -3, accY: 9, accZ: -103
13:00:12.495 - accX: -3, accY: 9, accZ: -103
13:00:12.506 - accX: -3, accY: 9, accZ: -104
13:00:12.520 - accX: 3, accY: 15, accZ: -106
13:00:12.569 - accX: -7, accY: 12, accZ: -60
13:00:12.617 - accX: -107, accY: -102, accZ: -93
13:00:12.666 - accX: -15, accY: 7, accZ: -58
13:00:12.706 - accX: -34, accY: 24, accZ: -110
13:00:12.723 - accX: 33, accY: 35, accZ: -48
13:00:12.743 - accX: -3, accY: 5, accZ: -14
13:00:12.759 - accX: 24, accY: 16, accZ: -28
13:00:12.793 - accX: 112, accY: -104, accZ: 113
13:00:12.832 - accX: 57, accY: -18, accZ: 67
13:00:12.874 - accX: 38, accY: 0, accZ: 42
13:00:12.892 - accX: 65, accY: 5, accZ: -31
13:00:12.915 - accX: 71, accY: 18, accZ: -30
13:00:12.929 - accX: 56, accY: 14, accZ: -21
13:00:12.941 - accX: 75, accY: 1, accZ: 23
13:00:12.964 - accX: 38, accY: -9, accZ: 21
13:00:12.977 - accX: 66, accY: -3, accZ: 10
13:00:12.990 - accX: 73, accY: 14, accZ: -13
13:00:13.012 - accX: 70, accY: 10, accZ: -5
13:00:13.027 - accX: 60, accY: -3, accZ: 11
13:00:13.044 - accX: 63, accY: 1, accZ: 7
13:00:13.062 - accX: 68, accY: 8, accZ: -3
13:00:13.080 - accX: 65, accY: 3, accZ: 4
13:00:13.096 - accX: 63, accY: 2, accZ: 5
13:00:13.110 - accX: 67, accY: 4, accZ: 0
13:00:13.136 - accX: 65, accY: 3, accZ: 2
13:00:13.183 - accX: 65, accY: 3, accZ: 3
13:00:13.220 - accX: 66, accY: 3, accZ: 3
13:00:13.248 - accX: 65, accY: 3, accZ: 2
13:00:13.273 - accX: 64, accY: 3, accZ: 3
13:00:13.290 - accX: 65, accY: 3, accZ: 2
13:00:13.313 - accX: 64, accY: 2, accZ: 3
13:00:13.357 - accX: 65, accY: 3, accZ: 3
13:00:13.399 - accX: 61, accY: 4, accZ: 3
13:00:13.443 - accX: 64, accY: 5, accZ: 4
13:00:13.493 - accX: 63, accY: 2, accZ: 4
13:00:13.536 - accX: 64, accY: 5, accZ: 5
13:00:13.556 - accX: 65, accY: 4, accZ: 2
13:00:13.571 - accX: 65, accY: 4, accZ: 4
13:00:13.585 - accX: 74, accY: -1, accZ: -3
13:00:13.605 - accX: 37, accY: -75, accZ: 33
13:00:13.622 - accX: 70, accY: 10, accZ: 11
13:00:13.639 - accX: 92, accY: -19, accZ: 4
13:00:13.656 - accX: 84, accY: -39, accZ: 6
13:00:13.673 - accX: 80, accY: -53, accZ: 9
13:00:13.689 - accX: 73, accY: -57, accZ: 13
13:00:13.705 - accX: 68, accY: -50, accZ: 17
13:00:13.721 - accX: 50, accY: -39, accZ: 25
13:00:13.736 - accX: 32, accY: -32, accZ: 37
13:00:13.753 - accX: 18, accY: -28, accZ: 44
13:00:13.768 - accX: 29, accY: -34, accZ: 32
13:00:13.786 - accX: 47, accY: -41, accZ: 6
13:00:13.842 - accX: 65, accY: -14, accZ: -12
13:00:13.860 - accX: 65, accY: -20, accZ: -11
13:00:13.875 - accX: 68, accY: -23, accZ: -14
13:00:13.890 - accX: 72, accY: -30, accZ: -21
13:00:13.915 - accX: 85, accY: -40, accZ: -45
13:00:13.954 - accX: 91, accY: -56, accZ: -57
13:00:13.996 - accX: 79, accY: -50, accZ: 11
13:00:14.045 - accX: 7, accY: 0, accZ: -12
13:00:14.087 - accX: 7, accY: 0, accZ: -11
13:00:14.102 - accX: 7, accY: 0, accZ: -11
13:00:14.113 - accX: 6, accY: 0, accZ: -12
13:00:14.128 - accX: 6, accY: -1, accZ: -12
13:00:14.151 - accX: 6, accY: 0, accZ: -13
13:00:14.167 - accX: 127, accY: 125, accZ: -126
13:00:14.184 - accX: 1, accY: -1, accZ: -9
13:00:14.206 - accX: 1, accY: -2, accZ: -9
13:00:14.223 - accX: 1, accY: -2, accZ: -8
13:00:14.240 - accX: 1, accY: -2, accZ: -9
13:00:14.255 - accX: 1, accY: -2, accZ: -9
13:00:14.282 - accX: 1, accY: -2, accZ: -9
13:00:14.307 - accX: -80, accY: -89, accZ: 37
13:00:14.350 - accX: 0, accY: 2, accZ: -4
13:00:14.387 - accX: -22, accY: -5, accZ: 6
13:00:14.403 - accX: -88, accY: -41, accZ: 61
13:00:14.428 - accX: -4, accY: 8, accZ: -6
13:00:14.455 - accX: -79, accY: 21, accZ: -1
13:00:14.500 - accX: -41, accY: 10, accZ: -25
13:00:14.538 - accX: -51, accY: 6, accZ: -5
