23:01:33.847 - accX: -7, accY: 2, accZ: 60
23:01:33.859 - accX: -7, accY: 1, accZ: 59
23:01:33.882 - accX: -8, accY: 1, accZ: 60
23:01:33.895 - accX: -8, accY: 1, accZ: 59
23:01:33.911 - accX: -8, accY: 1, accZ: 59
23:01:33.923 - accX: -6, accY: 1, accZ: 60
23:01:33.943 - accX: -8, accY: 1, accZ: 60
23:01:33.956 - accX: -8, accY: 1, accZ: 60
23:01:33.976 - accX: -7, accY: 2, accZ: 60
23:01:33.995 - accX: -7, accY: 2, accZ: 60
23:01:34.017 - accX: -8, accY: 1, accZ: 60
23:01:34.048 - accX: -8, accY: 1, accZ: 60
23:01:34.071 - accX: -8, accY: 2, accZ: 60
23:01:34.104 - accX: -7, accY: 1, accZ: 60
23:01:34.131 - accX: -8, accY: 1, accZ: 61
23:01:34.159 - accX: -7, accY: 1, accZ: 60
23:01:34.195 - accX: -7, accY: 2, accZ: 60
23:01:34.222 - accX: -8, accY: 1, accZ: 59
23:01:34.254 - accX: -7, accY: 2, accZ: 59
23:01:34.281 - accX: -8, accY: 1, accZ: 60
23:01:34.318 - accX: -7, accY: 1, accZ: 60
23:01:34.349 - accX: -8, accY: 1, accZ: 60
23:01:34.358 - accX: -7, accY: 2, accZ: 60
23:01:34.369 - accX: -7, accY: 1, accZ: 60
23:01:34.389 - accX: -8, accY: 2, accZ: 60
23:01:34.404 - accX: -7, accY: 2, accZ: 60
23:01:34.414 - accX: -7, accY: 0, accZ: 60
23:01:34.430 - accX: -8, accY: 2, accZ: 59
23:01:34.451 - accX: -7, accY: 2, accZ: 61
23:01:34.464 - accX: -8, accY: 1, accZ: 60
23:01:34.483 - accX: -8, accY: 2, accZ: 60
23:01:34.495 - accX: -7, accY: 1, accZ: 60
23:01:34.515 - accX: -8, accY: 2, accZ: 60
23:01:34.533 - accX: -8, accY: 1, accZ: 60
23:01:34.561 - accX: -8, accY: 1, accZ: 60
23:01:34.592 - accX: -7, accY: 2, accZ: 61
23:01:34.629 - accX: -7, accY: 1, accZ: 60
23:01:34.649 - accX: -7, accY: 1, accZ: 61
23:01:34.659 - accX: -8, accY: 1, accZ: 60
23:01:34.669 - accX: -8, accY: 2, accZ: 60
23:01:34.688 - accX: -6, accY: 1, accZ: 60
23:01:34.700 - accX: -8, accY: 1, accZ: 59
23:01:34.725 - accX: -8, accY: 1, accZ: 60
23:01:34.751 - accX: -8, accY: 1, accZ: 60
23:01:34.774 - accX: -7, accY: 1, accZ: 59
23:01:34.803 - accX: -7, accY: 0, accZ: 59
23:01:34.830 - accX: -8, accY: 2, accZ: 60
23:01:34.872 - accX: -7, accY: 2, accZ: 59
23:01:34.893 - accX: -8, accY: 2, accZ: 60
23:01:34.903 - accX: -8, accY: 1, accZ: 60
23:01:34.922 - accX: -7, accY: 1, accZ: 60
23:01:34.936 - accX: -8, accY: 1, accZ: 61
23:01:34.953 - accX: -7, accY: 1, accZ: 59
23:01:34.975 - accX: -7, accY: 1, accZ: 59
23:01:34.986 - accX: -7, accY: 1, accZ: 59
23:01:35.009 - accX: -7, accY: 1, accZ: 60
23:01:35.048 - accX: -7, accY: 1, accZ: 60
23:01:35.070 - accX: -8, accY: 2, accZ: 60
23:01:35.103 - accX: -7, accY: 1, accZ: 59
23:01:35.132 - accX: -7, accY: 1, accZ: 60
23:01:35.143 - accX: -8, accY: 1, accZ: 60
23:01:35.159 - accX: -8, accY: 1, accZ: 59
23:01:35.177 - accX: -7, accY: 1, accZ: 60
23:01:35.191 - accX: -7, accY: 1, accZ: 60
23:01:35.207 - accX: -7, accY: 2, accZ: 60
23:01:35.227 - accX: -7, accY: 2, accZ: 59
23:01:35.238 - accX: -8, accY: 2, accZ: 60
23:01:35.259 - accX: -7, accY: 2, accZ: 60
23:01:35.272 - accX: -7, accY: 1, accZ: 59
23:01:35.292 - accX: -8, accY: 2, accZ: 59
23:01:35.304 - accX: -8, accY: 1, accZ: 59
23:01:35.324 - accX: -8, accY: 1, accZ: 59
23:01:35.336 - accX: -8, accY: 2, accZ: 60
23:01:35.354 - accX: -7, accY: 1, accZ: 60
23:01:35.366 - accX: -7, accY: 2, accZ: 60
23:01:35.387 - accX: -7, accY: 1, accZ: 60
23:01:35.402 - accX: -8, accY: 1, accZ: 60
23:01:35.412 - accX: -8, accY: 1, accZ: 60
23:01:35.431 - accX: -8, accY: 2, accZ: 61
23:01:35.470 - accX: -7, accY: 2, accZ: 60
23:01:35.506 - accX: -7, accY: 1, accZ: 59
23:01:35.534 - accX: -8, accY: 1, accZ: 59
23:01:35.553 - accX: -7, accY: 1, accZ: 60
23:01:35.564 - accX: -8, accY: 1, accZ: 60
23:01:35.573 - accX: -8, accY: 1, accZ: 60
23:01:35.590 - accX: -7, accY: 1, accZ: 60
23:01:35.603 - accX: -7, accY: 2, accZ: 60
23:01:35.620 - accX: -8, accY: 2, accZ: 61
23:01:35.632 - accX: -8, accY: 2, accZ: 60
23:01:35.649 - accX: -7, accY: 2, accZ: 61
23:01:35.668 - accX: -7, accY: 2, accZ: 60
23:01:35.681 - accX: -8, accY: 1, accZ: 60
23:01:35.699 - accX: -8, accY: 1, accZ: 59
23:01:35.720 - accX: -8, accY: 0, accZ: 60
23:01:35.733 - accX: -8, accY: 1, accZ: 60
23:01:35.752 - accX: -8, accY: 1, accZ: 60
23:01:35.765 - accX: -8, accY: 1, accZ: 60
23:01:35.783 - accX: -8, accY: 2, accZ: 60
23:01:35.818 - accX: -8, accY: 2, accZ: 59
23:01:35.865 - accX: -7, accY: 1, accZ: 60
23:01:35.914 - accX: -7, accY: 1, accZ: 59
23:01:35.938 - accX: -8, accY: 2, accZ: 60
23:01:35.953 - accX: -7, accY: 2, accZ: 60
23:01:35.966 - accX: -7, accY: 2, accZ: 60
23:01:35.982 - accX: -8, accY: 2, accZ: 61
23:01:36.003 - accX: -8, accY: 2, accZ: 60
23:01:36.017 - accX: -8, accY: 1, accZ: 59
23:01:36.037 - accX: -8, accY: 2, accZ: 60
23:01:36.049 - accX: -8, accY: 1, accZ: 59
23:01:36.068 - accX: -8, accY: 1, accZ: 60
23:01:36.081 - accX: -8, accY: 1, accZ: 60
23:01:36.102 - accX: -7, accY: 2, accZ: 60
23:01:36.132 - accX: -8, accY: 2, accZ: 60
23:01:36.157 - accX: -8, accY: 2, accZ: 59
23:01:36.187 - accX: -8, accY: 2, accZ: 60
23:01:36.209 - accX: -8, accY: 1, accZ: 59
23:01:36.221 - accX: -7, accY: 0, accZ: 60
23:01:36.243 - accX: -8, accY: 1, accZ: 59
23:01:36.255 - accX: -8, accY: 1, accZ: 60
23:01:36.272 - accX: -7, accY: 1, accZ: 60
23:01:36.284 - accX: -8, accY: 0, accZ: 60
23:01:36.306 - accX: -7, accY: 1, accZ: 60
23:01:36.318 - accX: -7, accY: 2, accZ: 60
23:01:36.337 - accX: -7, accY: 1, accZ: 61
23:01:36.378 - accX: -8, accY: 1, accZ: 60
23:01:36.410 - accX: -8, accY: 2, accZ: 59
23:01:36.446 - accX: -7, accY: 0, accZ: 61
23:01:36.457 - accX: -8, accY: 1, accZ: 60
23:01:36.479 - accX: -8, accY: 1, accZ: 60
23:01:36.493 - accX: -7, accY: 2, accZ: 60
23:01:36.526 - accX: -8, accY: 2, accZ: 59
23:01:36.560 - accX: -8, accY: 1, accZ: 60
23:01:36.589 - accX: -8, accY: 1, accZ: 60
23:01:36.619 - accX: -8, accY: 2, accZ: 59
23:01:36.635 - accX: -7, accY: 2, accZ: 60
23:01:36.654 - accX: -7, accY: 1, accZ: 60
23:01:36.667 - accX: -7, accY: 1, accZ: 60
23:01:36.685 - accX: -7, accY: 1, accZ: 60
23:01:36.722 - accX: -7, accY: 2, accZ: 59
23:01:36.753 - accX: -7, accY: 2, accZ: 60
23:01:36.780 - accX: -8, accY: 1, accZ: 60
23:01:36.806 - accX: -7, accY: 1, accZ: 60
23:01:36.823 - accX: -7, accY: 1, accZ: 59
23:01:36.837 - accX: -8, accY: 1, accZ: 60
23:01:36.858 - accX: -8, accY: 2, accZ: 59
23:01:36.870 - accX: -7, accY: 2, accZ: 60
23:01:36.895 - accX: -8, accY: 1, accZ: 60
23:01:36.909 - accX: -7, accY: 2, accZ: 60
23:01:36.927 - accX: -7, accY: 1, accZ: 60
23:01:36.943 - accX: -8, accY: 1, accZ: 60
23:01:36.953 - accX: -8, accY: 1, accZ: 60
23:01:36.976 - accX: -7, accY: 1, accZ: 60
23:01:36.988 - accX: -8, accY: 0, accZ: 61
23:01:36.999 - accX: -8, accY: 1, accZ: 60
23:01:37.019 - accX: -8, accY: 1, accZ: 60
23:01:37.034 - accX: -8, accY: 1, accZ: 60
23:01:37.044 - accX: -8, accY: 1, accZ: 60
23:01:37.061 - accX: -7, accY: 1, accZ: 60
23:01:37.083 - accX: -7, accY: 1, accZ: 59
23:01:37.096 - accX: -7, accY: 1, accZ: 60
23:01:37.115 - accX: -8, accY: 2, accZ: 60
23:01:37.143 - accX: -8, accY: 1, accZ: 60
23:01:37.169 - accX: -7, accY: 1, accZ: 59
23:01:37.212 - accX: -7, accY: 1, accZ: 60
23:01:37.234 - accX: -8, accY: 1, accZ: 60
23:01:37.252 - accX: -8, accY: 1, accZ: 60
23:01:37.266 - accX: -7, accY: 1, accZ: 59
23:01:37.288 - accX: -8, accY: 1, accZ: 60
23:01:37.301 - accX: -7, accY: 2, accZ: 59
23:01:37.314 - accX: -7, accY: 1, accZ: 60
23:01:37.336 - accX: -8, accY: 1, accZ: 59
23:01:37.352 - accX: -8, accY: 1, accZ: 60
23:01:37.364 - accX: -8, accY: 2, accZ: 60
23:01:37.384 - accX: -7, accY: 1, accZ: 59
23:01:37.397 - accX: -8, accY: 1, accZ: 61
23:01:37.408 - accX: -8, accY: 1, accZ: 60
23:01:37.428 - accX: -7, accY: 1, accZ: 60
23:01:37.442 - accX: -8, accY: 2, accZ: 60
23:01:37.460 - accX: -7, accY: 1, accZ: 59
23:01:37.478 - accX: -8, accY: 1, accZ: 59
23:01:37.488 - accX: -8, accY: 1, accZ: 60
23:01:37.508 - accX: -8, accY: 2, accZ: 60
23:01:37.520 - accX: -7, accY: 1, accZ: 60
23:01:37.541 - accX: -8, accY: 2, accZ: 59
23:01:37.556 - accX: -7, accY: 1, accZ: 60
23:01:37.568 - accX: -7, accY: 2, accZ: 59
23:01:37.589 - accX: -8, accY: 3, accZ: 60
23:01:37.602 - accX: -8, accY: 1, accZ: 59
23:01:37.614 - accX: -8, accY: 2, accZ: 60
23:01:37.636 - accX: -8, accY: 1, accZ: 60
23:01:37.648 - accX: -8, accY: 2, accZ: 59
23:01:37.668 - accX: -7, accY: 1, accZ: 60
23:01:37.681 - accX: -7, accY: 2, accZ: 61
23:01:37.700 - accX: -8, accY: 2, accZ: 60
23:01:37.751 - accX: -8, accY: 1, accZ: 59
23:01:37.804 - accX: -8, accY: 2, accZ: 60
23:01:37.831 - accX: -7, accY: 1, accZ: 60
23:01:37.842 - accX: -7, accY: 1, accZ: 60
23:01:37.860 - accX: -7, accY: 1, accZ: 60
23:01:37.873 - accX: -7, accY: 2, accZ: 60
23:01:37.889 - accX: -7, accY: 1, accZ: 60
23:01:37.901 - accX: -8, accY: 2, accZ: 60
23:01:37.924 - accX: -8, accY: 1, accZ: 59
23:01:37.936 - accX: -8, accY: 2, accZ: 60
23:01:37.950 - accX: -8, accY: 1, accZ: 60
23:01:37.985 - accX: -8, accY: 1, accZ: 60
23:01:38.009 - accX: -7, accY: 2, accZ: 60
23:01:38.041 - accX: -7, accY: 0, accZ: 60
23:01:38.069 - accX: -7, accY: 1, accZ: 59
23:01:38.100 - accX: -7, accY: 1, accZ: 60
23:01:38.126 - accX: -8, accY: 2, accZ: 59
23:01:38.137 - accX: -7, accY: 1, accZ: 60
23:01:38.156 - accX: -7, accY: 1, accZ: 60
23:01:38.169 - accX: -8, accY: 1, accZ: 60
23:01:38.190 - accX: -8, accY: 1, accZ: 59
23:01:38.224 - accX: -7, accY: 2, accZ: 59
23:01:38.250 - accX: -8, accY: 1, accZ: 59
23:01:38.275 - accX: -7, accY: 1, accZ: 60
23:01:38.306 - accX: -8, accY: 1, accZ: 59
