14:32:32.552 - accX: -34, accY: -50, accZ: -19
14:32:32.573 - accX: -35, accY: -49, accZ: -19
14:32:32.586 - accX: -35, accY: -50, accZ: -19
14:32:32.599 - accX: -34, accY: -49, accZ: -20
14:32:32.616 - accX: -32, accY: -50, accZ: -19
14:32:32.632 - accX: -31, accY: -53, accZ: -18
14:32:32.648 - accX: -30, accY: -54, accZ: -17
14:32:32.665 - accX: -29, accY: -54, accZ: -15
14:32:32.681 - accX: -28, accY: -54, accZ: -15
14:32:32.697 - accX: -27, accY: -54, accZ: -14
14:32:32.711 - accX: -28, accY: -53, accZ: -15
14:32:32.726 - accX: -29, accY: -53, accZ: -16
14:32:32.741 - accX: -28, accY: -52, accZ: -16
14:32:32.755 - accX: -28, accY: -52, accZ: -14
14:32:32.779 - accX: -30, accY: -53, accZ: -14
14:32:32.799 - accX: -31, accY: -53, accZ: -14
14:32:32.812 - accX: -33, accY: -53, accZ: -14
14:32:32.824 - accX: -30, accY: -52, accZ: -15
14:32:32.838 - accX: -28, accY: -51, accZ: -15
14:32:32.851 - accX: -30, accY: -52, accZ: -16
14:32:32.864 - accX: -31, accY: -52, accZ: -16
14:32:32.890 - accX: -30, accY: -51, accZ: -16
14:32:32.907 - accX: -29, accY: -53, accZ: -15
14:32:32.929 - accX: -28, accY: -53, accZ: -15
14:32:32.954 - accX: -28, accY: -54, accZ: -15
14:32:32.968 - accX: -28, accY: -54, accZ: -13
14:32:32.981 - accX: -28, accY: -55, accZ: -15
14:32:32.995 - accX: -28, accY: -54, accZ: -15
14:32:33.025 - accX: -27, accY: -55, accZ: -13
14:32:33.064 - accX: -23, accY: -54, accZ: -14
14:32:33.107 - accX: -24, accY: -56, accZ: -14
14:32:33.132 - accX: -22, accY: -56, accZ: -13
14:32:33.146 - accX: -23, accY: -55, accZ: -14
14:32:33.160 - accX: -24, accY: -55, accZ: -15
14:32:33.173 - accX: -26, accY: -54, accZ: -15
14:32:33.187 - accX: -27, accY: -53, accZ: -16
14:32:33.201 - accX: -26, accY: -53, accZ: -17
14:32:33.219 - accX: -30, accY: -54, accZ: -16
14:32:33.233 - accX: -37, accY: -54, accZ: -19
14:32:33.248 - accX: -46, accY: -56, accZ: -21
14:32:33.263 - accX: -55, accY: -56, accZ: -24
14:32:33.277 - accX: -60, accY: -50, accZ: -27
14:32:33.291 - accX: -56, accY: -45, accZ: -29
14:32:33.307 - accX: -47, accY: -45, accZ: -30
14:32:33.332 - accX: -29, accY: -42, accZ: -25
14:32:33.354 - accX: -9, accY: -48, accZ: -23
14:32:33.368 - accX: 17, accY: -54, accZ: -19
14:32:33.385 - accX: 36, accY: -65, accZ: 2
14:32:33.401 - accX: 83, accY: -52, accZ: 16
14:32:33.427 - accX: 46, accY: -51, accZ: -5
14:32:33.444 - accX: 7, accY: -70, accZ: -19
14:32:33.465 - accX: -82, accY: -91, accZ: -9
14:32:33.481 - accX: -103, accY: -5, accZ: -34
14:32:33.498 - accX: -65, accY: -29, accZ: -1
14:32:33.516 - accX: -32, accY: -37, accZ: 10
14:32:33.531 - accX: -28, accY: -44, accZ: 16
14:32:33.546 - accX: -32, accY: -47, accZ: 22
14:32:33.572 - accX: -29, accY: -36, accZ: 24
14:32:33.592 - accX: -39, accY: -61, accZ: -12
14:32:33.607 - accX: -39, accY: -33, accZ: 17
14:32:33.622 - accX: -35, accY: -42, accZ: -10
14:32:33.638 - accX: -10, accY: -43, accZ: 7
14:32:33.654 - accX: 18, accY: -45, accZ: 4
14:32:33.670 - accX: 30, accY: -51, accZ: 24
14:32:33.686 - accX: 98, accY: -91, accZ: -3
14:32:33.702 - accX: 71, accY: -51, accZ: -19
14:32:33.719 - accX: 40, accY: -33, accZ: -11
14:32:33.735 - accX: 34, accY: -13, accZ: 28
14:32:33.751 - accX: -128, accY: -107, accZ: 9
14:32:33.769 - accX: -60, accY: -40, accZ: -11
14:32:33.789 - accX: -102, accY: -43, accZ: -9
